"tensor(13.7885, device='cuda:1')"
"tensor(41.7609, device='cuda:1')"
"tensor(42.5160, device='cuda:1')"
"tensor(34.2536, device='cuda:1')"
"tensor(89.4224, device='cuda:1')"
"tensor(48.8832, device='cuda:1')"
"tensor(141.6608, device='cuda:1')"
"tensor(77.5338, device='cuda:1')"
"tensor(53.9249, device='cuda:1')"
"tensor(23.9218, device='cuda:1')"
"tensor(42.5619, device='cuda:1')"
"tensor(32.5881, device='cuda:1')"
"tensor(44.2077, device='cuda:1')"
"tensor(53.3757, device='cuda:1')"
"tensor(26.6767, device='cuda:1')"
"tensor(26.2260, device='cuda:1')"
"tensor(78.2412, device='cuda:1')"
"tensor(78.3044, device='cuda:1')"
"tensor(106.3124, device='cuda:1')"
"tensor(39.4929, device='cuda:1')"
"tensor(24.1380, device='cuda:1')"
"tensor(29.9079, device='cuda:1')"
"tensor(43.0161, device='cuda:1')"
"tensor(53.8110, device='cuda:1')"
"tensor(66.3631, device='cuda:1')"
"tensor(36.6203, device='cuda:1')"
"tensor(74.9592, device='cuda:1')"
"tensor(64.4391, device='cuda:1')"
"tensor(69.3903, device='cuda:1')"
"tensor(45.3411, device='cuda:1')"
"tensor(34.7760, device='cuda:1')"
"tensor(58.5005, device='cuda:1')"
"tensor(87.8679, device='cuda:1')"
"tensor(71.2779, device='cuda:1')"
"tensor(44.3089, device='cuda:1')"
"tensor(46.9700, device='cuda:1')"
"tensor(41.2003, device='cuda:1')"
"tensor(41.2777, device='cuda:1')"
"tensor(66.6149, device='cuda:1')"
"tensor(29.9183, device='cuda:1')"
"tensor(40.1338, device='cuda:1')"
"tensor(41.4791, device='cuda:1')"
"tensor(31.0792, device='cuda:1')"
"tensor(52.8759, device='cuda:1')"
"tensor(178.0894, device='cuda:1')"
"tensor(26.5049, device='cuda:1')"
"tensor(47.2962, device='cuda:1')"
"tensor(32.9753, device='cuda:1')"
"tensor(53.7749, device='cuda:1')"
"tensor(42.1822, device='cuda:1')"
"tensor(40.8967, device='cuda:1')"
"tensor(76.8773, device='cuda:1')"
"tensor(27.1562, device='cuda:1')"
"tensor(21.0349, device='cuda:1')"
"tensor(22.9505, device='cuda:1')"
"tensor(87.7967, device='cuda:1')"
"tensor(58.1893, device='cuda:1')"
"tensor(39.4710, device='cuda:1')"
"tensor(107.7679, device='cuda:1')"
"tensor(42.6021, device='cuda:1')"
"tensor(60.6942, device='cuda:1')"
"tensor(19.4216, device='cuda:1')"
"tensor(312.9429, device='cuda:1')"
"tensor(74.4184, device='cuda:1')"
"tensor(44.1204, device='cuda:1')"
"tensor(31.2693, device='cuda:1')"
"tensor(84.3042, device='cuda:1')"
"tensor(53.4513, device='cuda:1')"
"tensor(18.9393, device='cuda:1')"
"tensor(23.1278, device='cuda:1')"
"tensor(70.0823, device='cuda:1')"
"tensor(42.9567, device='cuda:1')"
"tensor(106.1041, device='cuda:1')"
"tensor(43.8400, device='cuda:1')"
"tensor(71.8933, device='cuda:1')"
"tensor(24.8046, device='cuda:1')"
"tensor(51.8236, device='cuda:1')"
"tensor(20.6538, device='cuda:1')"
"tensor(27.7943, device='cuda:1')"
"tensor(60.4101, device='cuda:1')"
"tensor(66.1810, device='cuda:1')"
"tensor(21.4000, device='cuda:1')"
"tensor(28.0957, device='cuda:1')"
"tensor(30.5945, device='cuda:1')"
"tensor(73.2177, device='cuda:1')"
"tensor(27.0560, device='cuda:1')"
"tensor(30.0806, device='cuda:1')"
"tensor(25.8563, device='cuda:1')"
"tensor(20.4670, device='cuda:1')"
"tensor(32.7095, device='cuda:1')"
"tensor(31.2585, device='cuda:1')"
"tensor(51.3115, device='cuda:1')"
"tensor(106.9126, device='cuda:1')"
"tensor(43.5108, device='cuda:1')"
"tensor(20.1188, device='cuda:1')"
"tensor(63.8513, device='cuda:1')"
"tensor(62.5923, device='cuda:1')"
"tensor(38.4246, device='cuda:1')"
"tensor(38.4896, device='cuda:1')"
"tensor(45.8511, device='cuda:1')"
"tensor(50.1393, device='cuda:1')"
"tensor(40.6473, device='cuda:1')"
"tensor(21.4546, device='cuda:1')"
"tensor(53.2035, device='cuda:1')"
"tensor(81.7187, device='cuda:1')"
"tensor(44.7289, device='cuda:1')"
"tensor(41.5731, device='cuda:1')"
"tensor(59.4866, device='cuda:1')"
"tensor(37.2767, device='cuda:1')"
"tensor(32.7181, device='cuda:1')"
"tensor(61.0963, device='cuda:1')"
"tensor(22.3188, device='cuda:1')"
"tensor(48.6530, device='cuda:1')"
"tensor(42.8932, device='cuda:1')"
"tensor(114.1395, device='cuda:1')"
"tensor(54.2472, device='cuda:1')"
"tensor(62.8189, device='cuda:1')"
"tensor(34.6237, device='cuda:1')"
"tensor(37.8375, device='cuda:1')"
"tensor(34.4796, device='cuda:1')"
"tensor(75.9732, device='cuda:1')"
"tensor(83.0155, device='cuda:1')"
"tensor(86.4665, device='cuda:1')"
"tensor(208.4872, device='cuda:1')"
"tensor(44.2149, device='cuda:1')"
"tensor(21.8881, device='cuda:1')"
"tensor(36.7178, device='cuda:1')"
"tensor(27.4629, device='cuda:1')"
"tensor(36.4655, device='cuda:1')"
"tensor(82.7545, device='cuda:1')"
"tensor(31.5584, device='cuda:1')"
"tensor(79.4580, device='cuda:1')"
"tensor(63.8108, device='cuda:1')"
"tensor(69.8673, device='cuda:1')"
"tensor(82.3214, device='cuda:1')"
"tensor(96.5052, device='cuda:1')"
"tensor(63.2174, device='cuda:1')"
"tensor(72.8864, device='cuda:1')"
"tensor(58.5285, device='cuda:1')"
"tensor(51.5922, device='cuda:1')"
"tensor(43.9683, device='cuda:1')"
"tensor(17.3608, device='cuda:1')"
"tensor(57.0203, device='cuda:1')"
"tensor(55.8886, device='cuda:1')"
"tensor(42.8798, device='cuda:1')"
"tensor(52.5426, device='cuda:1')"
"tensor(83.6489, device='cuda:1')"
"tensor(45.9619, device='cuda:1')"
"tensor(60.9705, device='cuda:1')"
"tensor(26.9420, device='cuda:1')"
"tensor(98.6909, device='cuda:1')"
"tensor(43.0380, device='cuda:1')"
"tensor(44.5572, device='cuda:1')"
"tensor(101.1161, device='cuda:1')"
"tensor(63.0310, device='cuda:1')"
"tensor(54.5267, device='cuda:1')"
"tensor(47.8964, device='cuda:1')"
"tensor(74.5160, device='cuda:1')"
"tensor(48.3137, device='cuda:1')"
"tensor(78.9669, device='cuda:1')"
"tensor(29.8003, device='cuda:1')"
"tensor(59.6968, device='cuda:1')"
